"year","player","team","age","gp","w","l","min","pct_pts_2pt","pct_pts_mr","pct_pts_3pt","pct_pts_fstbrk","pct_pts_ft","pct_pts_off_tos","pct_pts_inthept","pct_2ptgfm_asstd","pct_2ptgfm_unasstd","pct_3ptgfm_asstd","pct_3ptgfm_unasstd","pct_fgm_asstd","pct_fgm_unasstd","total_min","player_win_ratio","shot_assisted_ratio"
"2019","Davis Bertans","SAS",26,76,44,32,21.5,19.5,6.9,71.8,13.9,8.7,11.6,12.5,83.1,16.9,98.6,1.4,94.1,5.9,1634,0.578947368421053,15.95
"2019","De'Aaron Fox","SAC",21,81,39,42,31.4,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8,2543.4,0.481481481481481,0.3
"2019","De'Anthony Melton","PHX",21,50,13,37,19.7,56.8,5.6,34.8,18.8,8.4,18.8,51.2,33.8,66.2,100,0,53,47,985,0.26,1.13
"2019","DeAndre Jordan","NYK",30,69,25,44,29.7,75.5,0.3,0,8,24.5,11.9,75.2,71.3,28.7,0,0,71.3,28.7,2049.3,0.36231884057971,2.48
"2019","DeAndre' Bembry","ATL",24,82,29,53,23.6,65.5,0.6,21.8,18.6,12.7,19.2,64.9,48.4,51.6,94,6,56.7,43.3,1935.2,0.353658536585366,1.31
"2019","DeMar DeRozan","SAS",29,77,44,33,34.9,76.3,27.4,1.3,6.8,22.4,11.7,48.9,27.6,72.4,100,0,28.4,71.6,2687.3,0.571428571428571,0.4
"2019","DeMarre Carroll","BKN",32,67,36,31,25.4,32.5,3.5,42.7,18,24.7,15.6,29,62,38,96.2,3.8,78,22,1701.8,0.537313432835821,3.55
"2019","Deandre Ayton","PHX",20,71,17,54,30.7,87.8,15.7,0,5.4,12.2,13.9,72.1,71.1,28.9,0,0,71.1,28.9,2179.7,0.23943661971831,2.46
"2019","Delon Wright","MEM",27,75,45,30,22.6,58.8,2.1,23,19.6,18.2,17.6,56.7,32.3,67.7,76,24,41.3,58.7,1695,0.6,0.7
"2019","Dennis Schroder","OKC",25,79,47,32,29.3,54.4,16.2,30.4,15.8,15.2,14.5,38.2,16.5,83.5,79.8,20.2,33.7,66.3,2314.7,0.594936708860759,0.51
