year,team,win_pct,team_pct_pts_2pt,team_pct_pts_mr,team_pct_pts_3pt,team_pct_pts_fstbrk,team_pct_pts_ft,team_pct_pts_off_tos,team_pct_pts_inthept,team_pct_2ptgfm_asstd,team_pct_3ptgfm_asstd
2017,NOP,41.46,53.27,12.81,30.44,14.10,16.30,13.50,40.44,44.11,84.01
2017,NYK,37.80,61.99,16.74,23.53,10.16,14.49,13.46,45.27,51.50,82.32
2017,OKC,57.32,60.09,10.84,25.21,13.65,14.73,14.72,49.25,55.45,78.56
2017,ORL,35.37,56.27,16.14,26.92,15.09,16.85,16.19,40.13,46.58,76.74
2017,PHI,34.15,54.34,9.51,29.71,13.19,15.95,17.21,44.83,50.45,79.89
2017,PHX,29.27,62.04,17.13,20.16,15.99,17.81,16.33,44.90,41.14,70.25
2017,POR,50.00,56.46,14.22,28.12,9.26,15.41,13.40,42.27,49.84,77.24
2017,SAC,39.02,53.12,14.78,32.47,12.54,14.39,16.10,38.34,51.43,71.53
2017,SAS,74.39,58.96,16.62,25.35,11.57,15.67,16.88,42.33,54.01,75.21
2017,TOR,62.20,58.43,13.18,25.85,12.75,15.74,16.81,45.22,45.96,92.57
2017,UTA,62.20,54.82,11.87,30.67,7.30,14.50,14.06,42.95,40.36,76.09
2017,WAS,59.76,56.43,17.02,28.03,14.44,15.52,16.71,39.42,52.03,75.39
2018,ATL,29.27,55.59,10.49,28.59,10.19,15.82,17.09,45.07,51.30,76.05
2018,BKN,67.07,45.44,6.85,38.93,10.18,15.61,13.86,38.60,55.33,87.60
2018,BOS,34.15,54.23,12.70,30.55,7.75,15.21,14.25,41.53,53.04,79.13
2018,CHA,43.90,53.08,13.24,29.31,9.51,17.61,15.33,39.81,49.45,74.59
2018,CHI,32.93,59.60,13.11,25.90,10.34,14.50,14.52,46.49,51.99,76.41
2018,CLE,60.98,50.67,11.41,34.68,10.93,14.64,14.14,39.26,49.51,75.36
2018,DAL,29.27,50.23,13.64,37.26,9.26,12.51,14.20,36.62,52.67,85.23
2018,DEN,56.10,53.76,7.43,29.84,11.56,16.40,15.30,46.36,53.37,76.79
2018,DET,47.56,49.43,12.58,36.65,11.08,13.92,16.88,36.85,47.25,76.06
2018,GSW,70.73,60.94,15.78,24.57,16.21,14.50,15.25,45.14,64.45,68.80
2018,HOU,79.27,39.17,6.66,46.63,11.01,14.22,15.75,32.52,43.90,70.12
2018,IND,58.54,62.48,17.17,23.17,13.58,14.37,17.19,45.28,47.20,87.26
2018,LAC,51.22,56.62,9.89,28.78,13.47,14.59,15.66,46.72,53.93,64.60
2018,LAL,42.68,50.70,8.60,33.64,17.06,15.70,15.64,42.09,47.66,86.41
2018,MEM,26.83,57.70,13.29,25.46,13.46,16.89,17.03,44.42,50.31,76.38
2018,MIA,53.66,56.07,10.40,29.00,8.51,14.94,15.41,45.66,46.65,79.56
2018,MIL,53.66,60.70,11.74,23.44,11.26,15.86,17.01,48.99,57.83,90.24
2018,MIN,57.32,58.87,15.98,24.47,9.63,16.69,16.49,42.88,47.27,84.81
2018,NOP,58.54,53.46,11.15,34.08,14.18,12.46,13.85,42.33,51.23,86.21
2018,NYK,35.37,61.20,17.68,23.81,8.41,14.99,14.18,43.54,45.93,76.76
2018,OKC,58.54,51.43,8.60,35.15,14.19,13.45,17.81,42.79,49.74,79.80
2018,ORL,30.49,57.82,10.56,26.39,12.61,15.79,15.62,47.24,50.77,75.27
2018,PHI,63.41,52.97,12.08,32.46,9.61,14.55,15.09,40.93,62.72,85.98
2018,PHX,25.61,57.43,10.58,26.39,12.65,16.19,13.20,46.86,49.59,77.72
2018,POR,59.76,55.23,11.95,30.77,7.45,14.00,13.45,43.26,45.75,65.99
2018,SAC,32.93,60.48,15.73,27.33,10.32,12.17,14.94,44.75,47.38,76.95
2018,SAS,57.32,56.54,15.77,28.79,11.24,14.67,15.98,40.75,52.25,92.43
2018,TOR,71.95,52.84,6.45,33.66,13.07,13.52,16.47,46.40,50.28,86.70
2018,UTA,58.54,51.39,8.73,31.80,10.76,16.81,17.13,42.64,54.23,75.72
2018,WAS,52.44,57.77,14.77,25.96,10.36,16.25,15.67,43.00,57.00,72.07
2019,ATL,35.37,48.77,4.87,37.37,13.38,13.86,15.17,43.89,55.19,85.62
2019,BKN,59.76,48.94,4.59,33.73,10.43,17.30,13.86,44.38,56.44,74.93
2019,BOS,51.22,51.93,11.98,34.29,13.74,13.80,15.86,39.93,53.40,87.66
2019,CHA,47.56,53.61,9.31,30.82,10.64,15.56,15.68,44.32,51.77,84.90
2019,CHI,26.83,61.42,10.04,23.81,12.42,14.79,15.11,51.37,47.49,86.34
2019,CLE,23.17,61.20,9.10,23.39,10.86,15.44,13.95,52.10,48.83,63.61
2019,DAL,40.24,47.53,7.89,35.36,13.11,17.11,13.84,39.64,51.12,81.92
2019,DEN,65.85,54.34,7.65,31.74,12.37,13.90,14.55,46.69,59.94,90.77
2019,DET,50.00,48.32,8.07,35.59,10.57,16.11,15.59,40.25,53.66,75.95
2019,GSW,69.51,56.23,13.21,31.66,16.68,12.11,14.22,43.00,62.75,78.84
2019,HOU,64.63,36.23,4.46,50.63,12.58,13.12,16.82,31.79,49.13,63.28
2019,IND,58.54,55.97,14.05,29.69,13.33,14.34,17.08,41.92,52.88,87.81
2019,LAC,58.54,48.35,7.03,35.15,14.00,16.49,14.69,41.35,53.61,81.15
2019,LAL,45.12,51.85,7.70,34.46,16.10,13.71,15.42,44.16,55.66,74.97
2019,MEM,40.24,54.15,9.79,30.54,13.01,15.31,15.50,44.39,55.24,88.21
2019,MIA,47.56,55.83,6.76,29.57,9.38,14.59,15.07,49.07,48.85,85.11
2019,MIL,73.17,47.59,6.12,39.38,14.49,13.03,14.42,41.48,57.17,84.36
2019,MIN,43.90,52.73,11.75,30.16,12.31,17.10,16.15,41.01,52.55,86.47
2019,NOP,40.24,56.26,6.92,31.25,13.89,12.48,13.62,49.33,56.45,90.75
2019,NYK,20.73,58.02,10.06,25.04,11.14,16.91,14.75,47.96,42.61,64.71
2019,OKC,59.76,54.68,8.49,31.51,13.57,13.81,16.23,46.20,55.31,67.31
2019,ORL,51.22,49.70,13.75,35.73,11.99,14.59,15.38,35.94,50.36,85.85
2019,PHI,62.20,55.16,11.97,27.90,13.88,16.97,14.21,43.18,53.10,78.11
2019,PHX,23.17,56.00,9.31,28.30,14.38,15.70,17.33,46.67,50.43,67.76
2019,POR,64.63,57.34,10.33,27.20,9.03,15.43,13.24,47.02,52.33,86.30
2019,SAC,47.56,53.96,9.67,30.28,15.51,15.77,15.37,44.29,46.00,81.14
2019,SAS,58.54,53.84,15.44,33.30,9.65,12.86,12.56,38.39,55.30,80.24
2019,TOR,70.73,49.27,9.83,35.64,15.79,15.06,15.41,39.45,48.16,86.89
2019,UTA,60.98,47.90,6.70,36.55,10.10,15.54,14.71,41.23,63.00,77.48
2019,WAS,39.02,55.29,9.74,28.78,12.36,15.94,15.15,45.55,50.59,90.00
